strata,trt,LeftBoundary,RightBoundary,SurvProb,FailProb,IMStderr,LagrangeMult,SurvProb_LCL,SurvProb_UCL,ConfType
S2,0,1.0736834845,1.0744625176,0.7292198777,0.2707801223,0.0373233145,0,0.6560675255,0.80237223,LINEAR
S2,0,1.1141740629,1.1335437516,0.7292198777,0.2707801223,0.0373233145,12.318362864,0.6560675255,0.80237223,LINEAR
S2,0,1.1509912768,1.1528260339,0.7292198777,0.2707801223,0.0373233145,10.698340516,0.6560675255,0.80237223,LINEAR
S2,0,1.1535935015,1.206892048,0.7292198777,0.2707801223,0.0373233145,12.318975605,0.6560675255,0.80237223,LINEAR
S2,0,1.2780752373,1.2806342071,0.7292198777,0.2707801223,0.0373233145,5.1780779116,0.6560675255,0.80237223,LINEAR
S2,0,1.3216446615,1.3366561224,0.479274599,0.520725401,0.039591325,0,0.4016770278,0.5568721702,LINEAR
S2,0,1.3552766708,1.3568415953,0.479274599,0.520725401,0.039591325,0.3472093356,0.4016770278,0.5568721702,LINEAR
S2,0,1.412641238,1.4135068519,0.479274599,0.520725401,0.039591325,6.9626788251,0.4016770278,0.5568721702,LINEAR
S2,0,1.4142998187,1.4278526003,0.479274599,0.520725401,0.039591325,3.0280023062,0.4016770278,0.5568721702,LINEAR
S2,0,1.4336014912,1.4439368494,0.479274599,0.520725401,0.039591325,0.64894261,0.4016770278,0.5568721702,LINEAR
S2,0,1.4765967545,1.4790169238,0.479274599,0.520725401,0.039591325,5.891827871,0.4016770278,0.5568721702,LINEAR
S2,0,1.5342626064,1.5346005032,0.479274599,0.520725401,0.039591325,12.000258884,0.4016770278,0.5568721702,LINEAR
S2,0,1.5374597828,1.5397827504,0.479274599,0.520725401,0.039591325,11.834170308,0.4016770278,0.5568721702,LINEAR
S2,0,1.542943737,1.5509460973,0.479274599,0.520725401,0.039591325,11.155781873,0.4016770278,0.5568721702,LINEAR
S2,0,1.5964245056,1.5997922327,0.479274599,0.520725401,0.039591325,13.423416957,0.4016770278,0.5568721702,LINEAR
S2,0,1.6053661499,1.6085916473,0.479274599,0.520725401,0.039591325,12.964755225,0.4016770278,0.5568721702,LINEAR
S2,0,1.6393233365,1.6427345881,0.4206405171,0.5793594829,0.0383052898,0,0.3455635286,0.4957175055,LINEAR
S2,0,1.6828034963,1.6913883965,0.4206405171,0.5793594829,0.0383052898,5.0526942348,0.3455635286,0.4957175055,LINEAR
S2,0,1.7434769589,1.7435929421,0.4206405171,0.5793594829,0.0383052898,7.1277176699,0.3455635286,0.4957175055,LINEAR
S2,0,1.7550213696,1.7584052337,0.4206405171,0.5793594829,0.0383052898,10.537513751,0.3455635286,0.4957175055,LINEAR
S2,0,1.7636864153,1.7652771011,0.4206405171,0.5793594829,0.0383052898,9.8862309602,0.3455635286,0.4957175055,LINEAR
S2,0,1.7683923407,1.7737168828,0.4206405171,0.5793594829,0.0383052898,8.9664128512,0.3455635286,0.4957175055,LINEAR
S2,0,1.8029051828,1.8052534535,0.4206405171,0.5793594829,0.0383052898,6.6698347317,0.3455635286,0.4957175055,LINEAR
S2,0,1.8270827057,1.8375975922,0.4206405171,0.5793594829,0.0383052898,3.3025333656,0.3455635286,0.4957175055,LINEAR
S2,0,1.8471043292,1.8477206886,0.4206405171,0.5793594829,0.0383052898,5.5532162972,0.3455635286,0.4957175055,LINEAR
S2,0,1.8684601043,1.869727801,0.4206405171,0.5793594829,0.0383052898,10.161483126,0.3455635286,0.4957175055,LINEAR
S2,0,1.8800634681,1.881139982,0.4206405171,0.5793594829,0.0383052898,10.547599964,0.3455635286,0.4957175055,LINEAR
S2,0,1.9229553244,1.9309964007,0.4206405171,0.5793594829,0.0383052898,0.3958756621,0.3455635286,0.4957175055,LINEAR
