strata,trt,LeftBoundary,RightBoundary,SurvProb,FailProb,IMStderr,LagrangeMult,SurvProb_LCL,SurvProb_UCL,ConfType
S2,0,1.0705804583,1.0990013647,0.7664611097,0.2335388903,0.0323420212,7.1071520523,0.703071913,0.8298503064,LINEAR
S2,0,1.1651659603,1.1712625795,0.7664611097,0.2335388903,0.0323420212,13.909946376,0.703071913,0.8298503064,LINEAR
S2,0,1.2638420668,1.2697739512,0.7664611097,0.2335388903,0.0323420212,12.898424034,0.703071913,0.8298503064,LINEAR
S2,0,1.2706578062,1.3172954069,0.7664611097,0.2335388903,0.0323420212,15.033533649,0.703071913,0.8298503064,LINEAR
S2,0,1.3490338889,1.3630450293,0.7664611097,0.2335388903,0.0323420212,24.173850552,0.703071913,0.8298503064,LINEAR
S2,0,1.3772164709,1.4059536294,0.7664611097,0.2335388903,0.0323420212,22.794479053,0.703071913,0.8298503064,LINEAR
S2,0,1.5248224651,1.5295261768,0.7664611097,0.2335388903,0.0323420212,27.919283953,0.703071913,0.8298503064,LINEAR
S2,0,1.5296084466,1.5309949815,0.7664611097,0.2335388903,0.0323420212,27.844610092,0.703071913,0.8298503064,LINEAR
S2,0,1.5358345266,1.5478066285,0.7664611097,0.2335388903,0.0323420212,28.775333444,0.703071913,0.8298503064,LINEAR
S2,0,1.5643173568,1.5770842963,0.7664611097,0.2335388903,0.0323420212,29.991488056,0.703071913,0.8298503064,LINEAR
S2,0,1.7046967228,1.7068081516,0.6908185479,0.3091814521,0.0363264172,0,0.6196200786,0.7620170172,LINEAR
S2,0,1.7609630935,1.7683457881,0.6554966603,0.3445033397,0.0369502177,0,0.5830755644,0.7279177562,LINEAR
S2,0,1.852676081,1.8615938718,0.6554966603,0.3445033397,0.0369502177,7.1829118478,0.5830755644,0.7279177562,LINEAR
S2,0,1.8705414301,1.9002947355,0.6554966603,0.3445033397,0.0369502177,13.143685575,0.5830755644,0.7279177562,LINEAR
S2,0,1.9024143419,1.9032883266,0.6554966603,0.3445033397,0.0369502177,15.518785962,0.5830755644,0.7279177562,LINEAR
S2,0,1.9586061267,1.9616817096,0.6554966603,0.3445033397,0.0369502177,22.912215841,0.5830755644,0.7279177562,LINEAR
S2,0,2.0463265381,2.0782999768,0.5984146294,0.4015853706,0.0378493813,0,0.5242312052,0.6725980535,LINEAR
